,번호,생태통로명,주소,도로명,도로번호,차선_수,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,관리기관,생태통로유형,설치기관,설치년도
419,1445,월정사,강원도 평창군 진부면 동산리,,없음,2차선,37,43.0,36.20,128,35.0,40.00,국립공원관리공단,터널형,환경부,2013
420,1447,갈운생태통로,경기도 양평군 청운면 갈운리 산1-4,,6,왕복2차선,37,31.0,58.00,127,48.0,6.00,경기도 양평군,육교형,서울지방국토관리청,198712
421,1448,옥녀봉생태통로,경상북도 영주시 봉현면 두산리 산32-8,,2호선,왕복2차선,36,50.0,38.45,128,28.0,2.01,경상북도 영주시,육교형,경상북도 영주시,20090101
422,1449,,경상북도 고령군 대가야읍 내곡리,,6호선,왕복2차선,35,40.0,36.29,128,17.0,41.02,경상북도,육교형,경상북도,20101
423,1450,,경상북도 고령군 다산면 송곡리 산74,,중로,왕복4차선,35,47.0,53.54,128,22.0,15.3,경상북도,육교형,경상북도,2010
424,1451,상밖산재,경상북도 청송군 현서면 무계리 산 54-8,,무계-갈천,왕복2차선,36,10.0,31.64,128,58.0,37.04,경상북도,육교형,경상북도,2010
425,1452,논골재,경상북도 청송군 파천면 신기리 산41-7,,송강-옹점,왕복2차선,36,28.0,58.45,129,3.0,41.41,경상북도,육교형,경상북도,2010
426,1453,갈비재,경상북도 청송군 파천면 신흥리 852,,금곡2-신흥,왕복2차선,36,24.0,24.875658826524002,129,2.0,49.691009522399995,경상북도,육교형,경상북도,2011
427,1455,,경기도 연천군 연천읍 고문리 ,,지방도78번,왕복2차선,38,4.0,2.56,127,7.0,39.37,한국수자원공사,육교형,한국수자원공사,2010
428,1456,동물이동통로,세종특별자치시 소정면 고등리 74-21,,32,왕복2차선,36,42.0,40.00,127,12.0,14.00,세종특별자치시,육교형,세종특별자치시,20120615
429,1457,못토재 생태통로,전라북도 순창군 풍산면 죽곡리 725번지,,729,왕복2차선,35,21.0,31.14,127,7.0,8.94,전라북도 도로관리사업소,육교형,전라북도,2006
430,1459,부산포항선 55.3k(범서IC),울산광역시 울주군 범서읍 척과리 산255-10,,(고속국도 65호선),왕복4차선,35,33.0,34.0403363803296,129,14.0,18.8886413832,한국도로공사,터널형,한국도로공사,201512
431,1460,광주대구선 125.8k,경상남도 거창군 남하면 둔마리 925-3(광주대구선 125.8k),,12,왕복4차선,35,42.0,26.91,127,58.0,2.69,한국도로공사,터널형,한국도로공사,2015
432,1461,선암생태통로,전라남도 보성군 벌교읍 옥전리,,30,왕복2차선,34,50.0,47.06,127,13.0,33.04,전라남도 보성군,육교형,전라남도 보성군,20130423
433,1462,광주대구선 28.80k,전라북도 순창군 순창읍 백산리 366-1,,제12호선,왕복4차선,35,21.0,58.20,127,7.0,26.90,한국도로공사,육교형,한국도로공사,20151222
434,1463,녹박재,경기도 안성시 삼죽면 진촌리 산16-1,,38호선,왕복4차선,37,4.0,4.37,127,22.0,43.22,수원국토관리사무소,육교형,수원국토관리사무소,2015
435,1464,광주대구선 52.63k(교룡산터널),전라북도 남원시 신정동,,제12호선,왕복4차선,35,25.0,23.40,127,21.0,42.40,한국도로공사,육교형,한국도로공사,20151222
436,1465,광주대구선 74.37k(사치터널),전라북도 남원시 아영면 아곡리,,제12호선,왕복4차선,35,28.0,42.10,127,33.0,37.00,한국도로공사,육교형,한국도로공사,20151222
437,1466,광주대구선 41.09k,전라북도 남원시 대강면 옥택리 ,,제12호선,왕복4차선,35,23.0,12.30,127,14.0,58.70,한국도로공사,육교형,한국도로공사,20151222
438,1467,광주대구선 89.58k,경상북도 함양군 병곡면 도천리,,제12호선,왕복4차선,35,32.0,34.60,127,41.0,31.70,한국도로공사,육교형,한국도로공사,20151222
439,1468,구천통로,경상남도 진주시 진성면 구천리 산120-4,,2호선,왕복4차선,35,10.0,8.98,128,12.0,55.40,진주국토관리사무소,육교형,진주국토관리사무소,20151215
440,1469,삼봉산 생태통로,전라북도 무주군 무풍면 삼거리 138-47,,37,왕복2차선,35,52.0,23.9,127,49.0,41.5,전라북도 도로관리사업소,터널형,국토교통부,2005
441,1470,덕유산 생태통로,전라북도 무주군 무풍면 삼공리 951-3,,37,왕복2차선,35,52.0,12.2,127,49.0,29.5,전라북도 도로관리사업소,터널형,국토교통부,2007
442,1471,삼봉산 생태통로,전라북도 무주군 무풍면 삼거리 1-12,,37,왕복2차선,35,52.0,12.2,127,49.0,29.5,전라북도 도로관리사업소,터널형,국토교통부,2005
443,1472,덕유산 생태통로,전라북도 무주군 설천면 심곡리 343-5,,37,왕복2차선,35,55.0,14.00,127,45.0,26.80,전라북도 도로관리사업소,육교형,국토교통부,2005
444,1473,거칠봉 생태통로,전라북도 무주군 설천면 두길리 1536-1,,37,왕복2차선,35,58.0,24.7,127,46.0,37.9,전라북도 도로관리사업소,터널형,국토교통부,2005
445,1474,부귀1 생태통로,전라북도 고창군 아산면 주진리 산 4-1,,15,왕복4차선,35,26.0,34.6,126,36.0,48.2,전라북도 도로관리사업소,터널형,전라북도,2013
446,1475,부귀2 생태통로,전라북도 고창군 아산면 학전리 산 122-1,,15,왕복4차선,35,26.0,34.1,126,36.0,41.5,전라북도 도로관리사업소,터널형,전라북도,2013
447,1476,달궁 생태통로,전라북도 남원시 산내면 덕동리 산 215-17,,737,왕복2차선,35,20.0,59.40451046688,127,32.0,2.1195070352879996,전라북도 도로관리사업소,터널형,전라북도,2011
448,1477,고기리 생태통로,전라북도 남원시 주천면 고기리 산 107-9,,737,왕복2차선,35,21.0,53.480319480540004,127,30.0,47.15740965506376,전라북도 도로관리사업소,터널형,전라북도,2011
449,1478,송동 생태통로,전라북도 남원시 송동면 두신리 산16-1,,17호선,왕복4차선,35,21.0,6.149252358324,127,19.0,18.509385213156,남원국토관리사무소,육교형,익산지방국토관리청,20141226
450,1479,입암,전라북도 정읍시 입암면 신면리 산18-1,,1호선,왕복4차선,35,31.0,06.27,126,49.0,43.65,전주국토관리사무소,육교형,익산지방국토관리청,20160930
451,1481,,충청북도 청주시 서원구 수곡동 577-1 ,,1순환로,왕복6차선,36,37.0,20.60,127,28.0,2.29,충청북도 청주시,육교형,LH공사,2005
452,1482,,충청북도 청주시 서원구 모충동 260-17,,매봉로,왕복2차선,36,37.0,26.71,127,28.0,40.23,충청북도 청주시,육교형,충청북도 청주시,0000
453,1483,연대봉생태터널,부산광역시 강서구 천성동 산222-1,,71,왕복1차선,35,1.0,28.37,128,49.0,14.22,부산광역시 강서구,육교형,부산광역시 강서구,20140519
454,1484,서천공주선 25.70k,충청남도 부여군 구룡면 현암리,,고속국도 151호선,왕복4차선,36+,15.0,56.10,126,48.0,12.99,한국도로공사,육교형,한국도로공사,200912
455,1486,광주대구선 28.8k,전라북도 순창군 순창읍 백산리 386-1,,-,왕복4차선,35,21.0,58.00,127,7.0,27.00,한국도로공사,육교형,한국도로공사,20151231
456,1487,예천 종산 생태통로,경상북도 예천군 호명면 종산리 산46-1,,(도로명 없음),왕복4차선,36,37.0,0.8203209144816,128,27.0,31.62350462976,경상북도,육교형,경상북도,20161231
